what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1390923882645
os,sysinfo,,,"win32",1390923882648
arch,sysinfo,,,"x86_64",1390923882648
ws,sysinfo,,,"win32",1390923882648
locale,sysinfo,,,"en_US",1390923882648
processors,sysinfo,,,"4",1390923882648
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1390923882648
java.runtime.version,sysinfo,,,"1.7.0_09-b05",1390923882648
java.specification.name,sysinfo,,,"Java Platform API Specification",1390923882648
java.specification.vendor,sysinfo,,,"Oracle Corporation",1390923882648
java.specification.version,sysinfo,,,"1.7",1390923882648
java.vendor,sysinfo,,,"Oracle Corporation",1390923882648
java.version,sysinfo,,,"1.7.0_09",1390923882648
java.vm.info,sysinfo,,,"mixed mode",1390923882649
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1390923882649
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1390923882649
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1390923882649
java.vm.specification.version,sysinfo,,,"1.7",1390923882649
java.vm.vendor,sysinfo,,,"Oracle Corporation",1390923882649
java.vm.version,sysinfo,,,"23.5-b02",1390923882649
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1390923882677
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1390923883248
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1390923883989
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1390923883990
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1390923884134
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390923884237
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390923888319
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390923891879
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390923921224
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1390923921233
error,log,,,"An unexpected exception was thrown.",1390923926969
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390923926972
